,usage_kwh,timestamp
487,3.40625,2022-01-06T01:45:00
488,6.21875,2022-01-06T02:00:00
489,3.46875,2022-01-06T02:15:00
490,6.28125,2022-01-06T02:30:00
491,3.421875,2022-01-06T02:45:00
492,6.515625,2022-01-06T03:00:00
493,3.625,2022-01-06T03:15:00
494,6.296875,2022-01-06T03:30:00
495,3.515625,2022-01-06T03:45:00
496,6.5625,2022-01-06T04:00:00
497,3.375,2022-01-06T04:15:00
498,6.609375,2022-01-06T04:30:00
499,3.734375,2022-01-06T04:45:00
500,6.25,2022-01-06T05:00:00
501,3.5625,2022-01-06T05:15:00
502,6.609375,2022-01-06T05:30:00
503,3.3125,2022-01-06T05:45:00
504,10.421875,2022-01-06T06:00:00
505,6.6875,2022-01-06T06:15:00
506,12.796875,2022-01-06T06:30:00
507,6.5625,2022-01-06T06:45:00
508,13.078125,2022-01-06T07:00:00
509,7.15625,2022-01-06T07:15:00
510,13.78125,2022-01-06T07:30:00
511,6.890625,2022-01-06T07:45:00
512,11.984375,2022-01-06T08:00:00
513,6.3125,2022-01-06T08:15:00
514,11.3125,2022-01-06T08:30:00
515,5.703125,2022-01-06T08:45:00
516,10.96875,2022-01-06T09:00:00
517,5.5625,2022-01-06T09:15:00
518,10.921875,2022-01-06T09:30:00
519,5.375,2022-01-06T09:45:00
520,11.5625,2022-01-06T10:00:00
521,5.78125,2022-01-06T10:15:00
522,10.6875,2022-01-06T10:30:00
523,5.59375,2022-01-06T10:45:00
524,10.796875,2022-01-06T11:00:00
525,5.625,2022-01-06T11:15:00
526,10.828125,2022-01-06T11:30:00
527,5.5,2022-01-06T11:45:00
528,11.234375,2022-01-06T12:00:00
529,5.875,2022-01-06T12:15:00
530,11.109375,2022-01-06T12:30:00
531,5.203125,2022-01-06T12:45:00
532,11.125,2022-01-06T13:00:00
533,5.515625,2022-01-06T13:15:00
534,11.0,2022-01-06T13:30:00
535,5.609375,2022-01-06T13:45:00
536,10.84375,2022-01-06T14:00:00
537,5.8125,2022-01-06T14:15:00
538,11.125,2022-01-06T14:30:00
539,5.6875,2022-01-06T14:45:00
540,11.265625,2022-01-06T15:00:00
541,5.9375,2022-01-06T15:15:00
542,11.890625,2022-01-06T15:30:00
543,5.96875,2022-01-06T15:45:00
544,13.3125,2022-01-06T16:00:00
545,7.265625,2022-01-06T16:15:00
546,14.28125,2022-01-06T16:30:00
547,7.421875,2022-01-06T16:45:00
548,14.265625,2022-01-06T17:00:00
549,6.953125,2022-01-06T17:15:00
550,12.8125,2022-01-06T17:30:00
551,6.578125,2022-01-06T17:45:00
552,13.6875,2022-01-06T18:00:00
553,6.84375,2022-01-06T18:15:00
554,12.96875,2022-01-06T18:30:00
555,6.609375,2022-01-06T18:45:00
556,9.15625,2022-01-06T19:00:00
557,3.4375,2022-01-06T19:15:00
558,5.765625,2022-01-06T19:30:00
559,3.09375,2022-01-06T19:45:00
560,5.84375,2022-01-06T20:00:00
561,3.0,2022-01-06T20:15:00
562,5.90625,2022-01-06T20:30:00
563,3.078125,2022-01-06T20:45:00
564,5.78125,2022-01-06T21:00:00
565,3.265625,2022-01-06T21:15:00
566,5.875,2022-01-06T21:30:00
567,2.875,2022-01-06T21:45:00
568,5.921875,2022-01-06T22:00:00
569,3.3125,2022-01-06T22:15:00
570,6.0625,2022-01-06T22:30:00
571,3.328125,2022-01-06T22:45:00
572,6.046875,2022-01-06T23:00:00
573,3.171875,2022-01-06T23:15:00
574,6.015625,2022-01-06T23:30:00
575,3.4375,2022-01-06T23:45:00
576,5.78125,2022-01-07T00:00:00
577,3.3125,2022-01-07T00:15:00
578,6.171875,2022-01-07T00:30:00
579,3.296875,2022-01-07T00:45:00
580,5.859375,2022-01-07T01:00:00
581,3.515625,2022-01-07T01:15:00
582,6.125,2022-01-07T01:30:00
583,3.1875,2022-01-07T01:45:00
584,6.1875,2022-01-07T02:00:00
585,3.375,2022-01-07T02:15:00
586,6.03125,2022-01-07T02:30:00
587,3.53125,2022-01-07T02:45:00
588,6.5,2022-01-07T03:00:00
589,3.78125,2022-01-07T03:15:00
590,6.5,2022-01-07T03:30:00
591,3.75,2022-01-07T03:45:00
592,6.546875,2022-01-07T04:00:00
593,3.609375,2022-01-07T04:15:00
594,6.71875,2022-01-07T04:30:00
595,3.4375,2022-01-07T04:45:00
596,6.765625,2022-01-07T05:00:00
597,3.6875,2022-01-07T05:15:00
598,6.484375,2022-01-07T05:30:00
599,3.453125,2022-01-07T05:45:00
600,10.0625,2022-01-07T06:00:00
601,7.0625,2022-01-07T06:15:00
602,12.65625,2022-01-07T06:30:00
603,7.3125,2022-01-07T06:45:00
604,14.03125,2022-01-07T07:00:00
605,7.46875,2022-01-07T07:15:00
606,14.0,2022-01-07T07:30:00
607,6.3125,2022-01-07T07:45:00
608,11.34375,2022-01-07T08:00:00
609,5.984375,2022-01-07T08:15:00
610,11.40625,2022-01-07T08:30:00
611,5.609375,2022-01-07T08:45:00
612,11.109375,2022-01-07T09:00:00
613,5.8125,2022-01-07T09:15:00
614,11.21875,2022-01-07T09:30:00
615,5.671875,2022-01-07T09:45:00
616,10.140625,2022-01-07T10:00:00
617,5.421875,2022-01-07T10:15:00
618,9.984375,2022-01-07T10:30:00
619,5.46875,2022-01-07T10:45:00
620,9.96875,2022-01-07T11:00:00
621,5.5625,2022-01-07T11:15:00
622,10.09375,2022-01-07T11:30:00
623,5.203125,2022-01-07T11:45:00
624,10.296875,2022-01-07T12:00:00
625,5.390625,2022-01-07T12:15:00
626,10.75,2022-01-07T12:30:00
627,5.28125,2022-01-07T12:45:00
628,10.703125,2022-01-07T13:00:00
629,5.359375,2022-01-07T13:15:00
630,11.046875,2022-01-07T13:30:00
631,5.71875,2022-01-07T13:45:00
632,10.515625,2022-01-07T14:00:00
633,5.6875,2022-01-07T14:15:00
634,10.578125,2022-01-07T14:30:00
635,5.765625,2022-01-07T14:45:00
636,11.0,2022-01-07T15:00:00
637,5.71875,2022-01-07T15:15:00
638,11.140625,2022-01-07T15:30:00
639,5.828125,2022-01-07T15:45:00
640,13.15625,2022-01-07T16:00:00
641,6.5,2022-01-07T16:15:00
642,13.578125,2022-01-07T16:30:00
643,7.078125,2022-01-07T16:45:00
644,13.140625,2022-01-07T17:00:00
645,6.0625,2022-01-07T17:15:00
646,12.390625,2022-01-07T17:30:00
647,6.65625,2022-01-07T17:45:00
648,12.0625,2022-01-07T18:00:00
649,6.5625,2022-01-07T18:15:00
650,12.21875,2022-01-07T18:30:00
651,6.6875,2022-01-07T18:45:00
652,8.65625,2022-01-07T19:00:00
653,3.578125,2022-01-07T19:15:00
654,6.171875,2022-01-07T19:30:00
655,3.3125,2022-01-07T19:45:00
656,6.046875,2022-01-07T20:00:00
657,3.28125,2022-01-07T20:15:00
658,6.125,2022-01-07T20:30:00
659,3.25,2022-01-07T20:45:00
660,6.328125,2022-01-07T21:00:00
661,3.390625,2022-01-07T21:15:00
662,6.625,2022-01-07T21:30:00
663,3.328125,2022-01-07T21:45:00
664,6.40625,2022-01-07T22:00:00
665,3.484375,2022-01-07T22:15:00
666,6.09375,2022-01-07T22:30:00
667,3.40625,2022-01-07T22:45:00
668,6.234375,2022-01-07T23:00:00
669,3.515625,2022-01-07T23:15:00
670,6.359375,2022-01-07T23:30:00
671,3.125,2022-01-07T23:45:00
672,6.46875,2022-01-08T00:00:00
673,3.40625,2022-01-08T00:15:00
674,6.109375,2022-01-08T00:30:00
675,3.84375,2022-01-08T00:45:00
676,6.15625,2022-01-08T01:00:00
677,3.5625,2022-01-08T01:15:00
678,6.265625,2022-01-08T01:30:00
679,3.4375,2022-01-08T01:45:00
680,6.46875,2022-01-08T02:00:00
681,3.296875,2022-01-08T02:15:00
682,6.671875,2022-01-08T02:30:00
683,3.484375,2022-01-08T02:45:00
684,6.484375,2022-01-08T03:00:00
685,3.359375,2022-01-08T03:15:00
686,6.296875,2022-01-08T03:30:00
687,3.546875,2022-01-08T03:45:00
688,6.5,2022-01-08T04:00:00
689,3.515625,2022-01-08T04:15:00
690,6.3125,2022-01-08T04:30:00
691,3.4375,2022-01-08T04:45:00
692,6.609375,2022-01-08T05:00:00
693,3.3125,2022-01-08T05:15:00
694,6.40625,2022-01-08T05:30:00
695,3.671875,2022-01-08T05:45:00
696,6.046875,2022-01-08T06:00:00
697,3.53125,2022-01-08T06:15:00
698,6.546875,2022-01-08T06:30:00
699,3.4375,2022-01-08T06:45:00
